iteration,current_objective,best_objective,current_total_weight
529,4250,5466,2491
530,4250,5466,2491
531,4250,5466,2491
532,4250,5466,2491
533,4659,5466,2530
534,4659,5466,2530
535,3667,5466,2232
536,4431,5466,2539
537,4431,5466,2539
538,4431,5466,2539
539,4431,5466,2539
540,4431,5466,2539
541,4431,5466,2539
542,3846,5466,2325
543,3846,5466,2325
544,4303,5466,2368
545,4737,5466,2388
546,4962,5466,2474
547,4962,5466,2474
548,4223,5466,2258
549,4223,5466,2258
550,3549,5466,2083
551,4275,5466,2181
552,3905,5466,2050
553,3421,5466,2300
554,3196,5466,2214
555,3478,5466,2222
556,3196,5466,2214
557,2929,5466,2027
558,3435,5466,2353
559,3190,5466,2306
560,3190,5466,2306
561,3190,5466,2306
562,3190,5466,2306
563,3030,5466,2322
564,3030,5466,2322
565,2894,5466,2436
566,2894,5466,2436
567,3089,5466,2441
568,3089,5466,2441
569,3089,5466,2441
570,3089,5466,2441
571,2869,5466,2094
572,2869,5466,2094
573,2781,5466,2518
574,2781,5466,2518
575,2781,5466,2518
576,3014,5466,1999
577,3014,5466,1999
578,2709,5466,2324
579,2057,5466,2044
580,2057,5466,2044
581,2655,5466,2460
582,2655,5466,2460
583,2500,5466,2487
584,2343,5466,2526
585,2343,5466,2526
586,2377,5466,2136
587,3311,5466,2391
588,3311,5466,2391
589,3311,5466,2391
590,3311,5466,2391
591,3311,5466,2391
592,2455,5466,2415
593,2455,5466,2415
594,2455,5466,2415
595,2708,5466,2448
596,2993,5466,1958
597,2993,5466,1958
598,3064,5466,2055
599,3125,5466,2542
600,3125,5466,2542
601,3125,5466,2542
602,3125,5466,2542
603,3094,5466,2535
604,3094,5466,2535
605,3094,5466,2535
606,3094,5466,2535
607,3763,5466,2086
608,3763,5466,2086
609,3763,5466,2086
610,3763,5466,2086
611,3763,5466,2086
612,3979,5466,2429
613,3979,5466,2429
614,3979,5466,2429
615,3979,5466,2429
616,3979,5466,2429
617,3979,5466,2429
618,3979,5466,2429
619,3979,5466,2429
620,4548,5466,2459
621,4548,5466,2459
622,4548,5466,2459
623,4548,5466,2459
624,4351,5466,2098
625,3670,5466,2291
626,3496,5466,2516
627,2664,5466,2239
628,2328,5466,2038
629,2902,5466,2353
630,3198,5466,2525
631,3198,5466,2525
632,2859,5466,2058
633,3748,5466,2086
634,3748,5466,2086
635,4194,5466,2112
636,4194,5466,2112
637,5102,5466,2209
638,5102,5466,2209
639,4895,5466,2257
640,4895,5466,2257
641,4895,5466,2257
642,5111,5466,2271
643,6108,6108,2470
644,6108,6108,2470
645,6108,6108,2470
646,5813,6108,2257
647,5813,6108,2257
648,5813,6108,2257
649,5697,6108,2496
650,5330,6108,2133
651,5330,6108,2133
652,5330,6108,2133
653,5330,6108,2133
654,5330,6108,2133
655,5549,6108,2408
656,5549,6108,2408
657,5549,6108,2408
658,6273,6273,2437
659,6273,6273,2437
660,6273,6273,2437
661,6914,6914,2483
662,6914,6914,2483
663,6914,6914,2483
664,6914,6914,2483
665,6914,6914,2483
666,6914,6914,2483
667,6914,6914,2483
668,6914,6914,2483
669,6914,6914,2483
670,6914,6914,2483
671,6914,6914,2483
672,6914,6914,2483
673,6914,6914,2483
674,6914,6914,2483
675,6914,6914,2483
676,6914,6914,2483
677,6914,6914,2483
678,6914,6914,2483
679,7042,7042,2498
680,7042,7042,2498
681,7042,7042,2498
682,7042,7042,2498
683,7042,7042,2498
684,7042,7042,2498
685,7042,7042,2498
686,7042,7042,2498
687,7042,7042,2498
688,7042,7042,2498
689,6937,7042,1864
690,7908,7908,2187
691,7987,7987,2275
692,7987,7987,2275
693,7987,7987,2275
694,7987,7987,2275
695,7987,7987,2275
696,7987,7987,2275
697,7987,7987,2275
698,8405,8405,2536
699,8405,8405,2536
700,8405,8405,2536
701,8405,8405,2536
702,8405,8405,2536
703,8428,8428,2491
704,8428,8428,2491
705,8428,8428,2491
706,8428,8428,2491
707,8428,8428,2491
708,8386,8428,2436
709,8386,8428,2436
710,8386,8428,2436
711,8386,8428,2436
712,8386,8428,2436
713,8386,8428,2436
714,8386,8428,2436
715,8386,8428,2436
716,8386,8428,2436
717,8386,8428,2436
718,8386,8428,2436
719,8386,8428,2436
720,8386,8428,2436
721,8386,8428,2436
722,8505,8505,2138
723,9004,9004,2367
724,9004,9004,2367
725,9410,9410,2433
726,9410,9410,2433
727,9410,9410,2433
728,9410,9410,2433
729,9410,9410,2433
730,9410,9410,2433
731,9410,9410,2433
732,9410,9410,2433
733,9410,9410,2433
734,9410,9410,2433
735,9410,9410,2433
736,9410,9410,2433
737,10341,10341,2503
738,10341,10341,2503
739,10341,10341,2503
740,10594,10594,2536
741,10594,10594,2536
742,10594,10594,2536
743,10594,10594,2536
744,10594,10594,2536
745,10594,10594,2536
746,10594,10594,2536
747,10615,10615,2530
748,10615,10615,2530
749,10615,10615,2530
750,10615,10615,2530
751,10615,10615,2530
752,10615,10615,2530
753,10755,10755,2465
754,10755,10755,2465
755,10754,10755,2215
756,11524,11524,2225
757,11524,11524,2225
758,11524,11524,2225
759,11319,11524,2441
760,11319,11524,2441
761,11319,11524,2441
762,11319,11524,2441
763,11319,11524,2441
764,11319,11524,2441
765,11319,11524,2441
766,11319,11524,2441
767,11319,11524,2441
768,11319,11524,2441
769,11319,11524,2441
770,11365,11524,2331
771,11365,11524,2331
772,11365,11524,2331
773,11584,11584,2543
774,11584,11584,2543
775,11584,11584,2543
776,11584,11584,2543
777,11584,11584,2543
778,11584,11584,2543
779,11584,11584,2543
780,11584,11584,2543
781,11584,11584,2543
782,11584,11584,2543
783,11584,11584,2543
784,11584,11584,2543
785,11584,11584,2543
786,11584,11584,2543
787,11584,11584,2543
788,11584,11584,2543
789,11584,11584,2543
790,11584,11584,2543
791,11584,11584,2543
792,11584,11584,2543
793,11584,11584,2543
794,11510,11584,2277
795,11510,11584,2277
796,12177,12177,2399
797,12177,12177,2399
798,12177,12177,2399
799,12177,12177,2399
800,12177,12177,2399
801,12177,12177,2399
802,12177,12177,2399
803,12177,12177,2399
804,12177,12177,2399
805,12177,12177,2399
806,12177,12177,2399
807,12177,12177,2399
808,12177,12177,2399
809,12177,12177,2399
810,12328,12328,2542
811,12328,12328,2542
812,12063,12328,2326
813,12063,12328,2326
814,12063,12328,2326
815,12260,12328,2442
816,13030,13030,2463
817,13030,13030,2463
818,13030,13030,2463
819,13030,13030,2463
820,13030,13030,2463
821,13030,13030,2463
822,13030,13030,2463
823,13030,13030,2463
824,13030,13030,2463
825,13030,13030,2463
826,13030,13030,2463
827,13030,13030,2463
828,13030,13030,2463
829,13030,13030,2463
830,13030,13030,2463
831,13030,13030,2463
832,13030,13030,2463
833,13030,13030,2463
834,13030,13030,2463
835,13030,13030,2463
836,13030,13030,2463
837,13030,13030,2463
838,13030,13030,2463
839,13030,13030,2463
840,13030,13030,2463
841,13030,13030,2463
842,13030,13030,2463
843,13030,13030,2463
