iteration,current_objective,best_objective
961,14413,14413
962,14413,14413
963,14413,14413
964,14413,14413
965,14413,14413
966,14413,14413
967,14413,14413
968,14413,14413
969,14413,14413
970,14413,14413
971,14413,14413
972,14413,14413
973,14413,14413
974,14413,14413
975,14413,14413
976,14413,14413
977,14413,14413
978,14413,14413
979,14413,14413
980,14413,14413
981,14413,14413
982,14413,14413
983,14413,14413
984,14413,14413
985,14413,14413
986,14413,14413
987,14413,14413
988,14413,14413
989,14413,14413
990,14413,14413
991,14413,14413
992,14413,14413
993,14413,14413
994,14413,14413
995,14413,14413
996,14413,14413
997,14413,14413
998,14413,14413
999,14413,14413
1000,14413,14413
1001,14413,14413
1002,14413,14413
1003,14413,14413
1004,14413,14413
1005,14413,14413
1006,14413,14413
1007,14413,14413
1008,14413,14413
1009,14413,14413
1010,14413,14413
1011,14413,14413
1012,14413,14413
1013,14413,14413
1014,14413,14413
1015,14413,14413
1016,14413,14413
1017,14413,14413
1018,14413,14413
1019,14413,14413
1020,14413,14413
1021,14413,14413
1022,14413,14413
1023,14413,14413
1024,14413,14413
1025,14413,14413
1026,14413,14413
1027,14413,14413
1028,14413,14413
1029,14413,14413
1030,14413,14413
1031,14413,14413
1032,14413,14413
1033,14413,14413
1034,14413,14413
1035,14413,14413
1036,14413,14413
1037,14413,14413
1038,14413,14413
1039,14413,14413
1040,14413,14413
1041,14413,14413
1042,14413,14413
1043,14413,14413
1044,14413,14413
1045,14413,14413
1046,14413,14413
1047,14413,14413
1048,14408,14413
1049,14408,14413
1050,14408,14413
1051,14408,14413
1052,14408,14413
1053,14408,14413
1054,14408,14413
1055,14408,14413
1056,14408,14413
1057,14408,14413
1058,14408,14413
1059,14408,14413
1060,14950,14950
1061,14950,14950
1062,15839,15839
1063,15839,15839
1064,15839,15839
1065,15839,15839
1066,15839,15839
1067,15839,15839
1068,15839,15839
1069,15839,15839
1070,15839,15839
1071,15839,15839
1072,15839,15839
1073,15839,15839
1074,15839,15839
1075,15839,15839
1076,15839,15839
1077,15839,15839
1078,15839,15839
1079,15839,15839
1080,15839,15839
1081,15839,15839
1082,15839,15839
1083,15839,15839
1084,15839,15839
1085,15839,15839
1086,15839,15839
1087,15839,15839
1088,15839,15839
1089,15839,15839
1090,15839,15839
1091,15839,15839
1092,15839,15839
1093,15839,15839
1094,15839,15839
1095,15839,15839
1096,15839,15839
1097,15839,15839
1098,15839,15839
1099,15839,15839
1100,15839,15839
1101,15839,15839
1102,15839,15839
1103,15839,15839
1104,15839,15839
1105,15839,15839
1106,15839,15839
1107,15839,15839
1108,15839,15839
1109,15839,15839
1110,15839,15839
1111,15839,15839
1112,15839,15839
1113,15839,15839
1114,15839,15839
1115,15839,15839
1116,15839,15839
1117,15839,15839
1118,15839,15839
1119,15839,15839
1120,15839,15839
1121,15839,15839
1122,15839,15839
1123,15839,15839
1124,15839,15839
1125,16121,16121
1126,16121,16121
1127,16121,16121
1128,16121,16121
1129,16121,16121
1130,16121,16121
1131,16121,16121
1132,16121,16121
1133,16121,16121
1134,16121,16121
1135,16121,16121
1136,16121,16121
1137,16121,16121
1138,16121,16121
1139,16121,16121
1140,16121,16121
1141,16121,16121
1142,16121,16121
1143,16121,16121
1144,16121,16121
1145,16121,16121
1146,16121,16121
1147,16121,16121
